Date,Open,High,Low,Close,Adj Close,Volume,text
2014-01-02,79.382858,79.575714,78.860001,79.01857,73.52253,58671200,"Apple Faces New Year with Multiple Challenges and Opportunities: As Wall Street starts the new year on a lower note with concerns over margins potentially impacting Apple's ($AAPL) performance, a series of tweets capture a mixed outlook for the tech giant. Apple's potential push into healthcare and China’s Xiaomi's ambitious plan to double smartphone sales may signal a competitive year ahead. Speculation abounds on whether 2014 will be marked by Apple's innovation or gross-margin pressure. Despite a Wells Fargo downgrade, a bullish note from Cantor Fitzgerald stands out with a $777 price target. Meanwhile, Alicia Keys' separation from Blackberry underscores the dynamic landscape in tech. Apple denies NSA collaboration, and discussions about the much-anticipated Apple TV highlight consumer expectations. Additionally, questions linger over CEO Tim Cook's leadership following Steve Jobs, as investors eye Apple's stock performance with a balance of caution and optimism."
2014-01-03,78.980003,79.099998,77.204285,77.28286,71.907555,98116900,"Top trade ideas for 2014 include GLD, USO, and AAPL, with $1,000 futures wins already reported. Discussion about the longevity of iPad upgrades and AAPL's stock performance following CHL news is trending. Best Buy announced a temporary price cut for the iPhone 5S. There's talk of taking an AAPL position with a stop at 541. BlackBerry has filed a lawsuit against Typo, alleging infringement. Concerns arise from a perceived double top in AAPL's chart and speculation about Carl Icahn selling his shares. AAPL's stock is considered weak with support at $544 needing to hold. A significant portion of AAPL trades today involved less than 100 shares, indicating odd lots. Google's use of Android phones as 'dumbphones' in comparison to Apple's products is highlighted. Overall market's VIX is down, but AAPL's implied volatility is up, hinting at a possible pre-event shake-down. BlackBerry is also suing Ryan Seacrest's company over an iPhone keyboard issue, and a boost in Q4 online retail sales is noted."
2014-01-06,76.778572,78.114288,76.228569,77.704285,72.299644,103152700,"The collected tweets discuss various aspects and opinions on Apple Inc. ($AAPL) and other stocks:

1. Traders express optimism with their $MU puts and long positions in $AAPL.
2. Speculation about Intel potentially winning business with Apple.
3. Discussion about Apple's performance compared to Amazon and Google in bar charts, suggesting market sentiment is affecting Apple's valuation.
4. Technical analysis points to an important reversal for $AAPL and defense of key support levels, with resistance noted at $545.5.
5. Comments on Apple's leadership and the direction of the company post-Steve Jobs.
6. Mention of updated reports for $AAPL available through SeekingAlpha.
7. A list of focus stocks is shared, including $AAPL.
8. Apple's potential use of curved displays from Corning is highlighted.
9. Expectations for $AAPL's price movement in the short term, with possibilities of short covering influencing the stock price.
10. Commentary on the ""January Effect"" and its delay impacting market stocks, including $AAPL.
11. Mixed arguments on whether Apple has found a bottom in the market.
12. Video and content related to Asian stocks, Liberty's potential acquisition of Sirius XM, and Apple's key support levels.
13. A link to ""Dirty Secrets Apple Doesn't Want You to Know"" stirs controversy.
14. News about Qualcomm and the Apple iWatch are briefly mentioned.
15. Standpoint Research downgrades Apple ($AAPL) to Sell for moral reasons.
16. Speculation on how quickly Windows and Office will decline in the market.

Condensed news text:

Optimistic traders are actively discussing positions in $AAPL, with technical analyses pointing to a significant reversal and defense at key support levels, and resistance around $545.5. There's chatter about Intel possibly winning Apple contracts and Apple's performance compared to tech giants like Amazon and Google. Leadership direction post-Steve Jobs and the use of curved displays from Corning for Apple products are also topics of interest. Short-term movements predict possible short covering influencing $AAPL's price, while Standpoint Research downgrades Apple to Sell for ethical reasons. Discussions are also focused on the potential decline of Microsoft's Windows and Office, as well as the anticipated Apple iWatch in partnership with Qualcomm."
2014-01-07,77.760002,77.994286,76.845711,77.148575,71.782608,79302300,"Apple experienced a robust year with its App Store, reporting sales over $10 billion in 2013. The store saw nearly 3 billion app downloads in December alone. This financial report comes as Apple's stocks ($AAPL) show active equity options trading, and the company appears optimistic despite competition from Samsung, who is experiencing a decline in profits and sales even as they increase their smartphone market share in the US.

Apple continues to expand its sales channels, opening a store on Alibaba's Tmall in China to better cater to Chinese consumers. Discussions are ongoing regarding Apple's stock value and predictions, with some suggesting $AAPL could reach a $1000 stock value, while Google ($GOOG) is predicted to potentially hit a $2000 stock valuation by the end of 2015.

The tweets highlight strong opinions and enthusiasm for Apple's products, such as the iPad, which users prefer over Android due to security concerns. Leaks and speculations about the iPhone 7 generate excitement, and the company's performance, as well as lawsuits and financials, are closely monitored by investors and tech enthusiasts.

In summary, Apple's App Store achieved significant financial success in 2013, fostering confidence in the company's stock among investors. Apple's market strategies and performance continue to be heavily discussed and anticipated in the tech and investment communities."
2014-01-08,76.972855,77.937141,76.955711,77.637146,72.23719,64632400,"Apple reported over $10 billion in App Store sales in 2013. The company has plans to expand in China, targeting growth and revenue in the region. Additionally, they have introduced a cheaper iPhone model in China. There is speculation about Apple's stock movement, with some investors considering going long if the stock exceeds $546.86. Apple has been recognized for its music monopoly value through iTunes. A keyboard accessory for the iPhone, named Typo, has also been mentioned. Finally, Apple's financial performance is being observed for its potential impact on the stock, particularly as it tests the 50-day EMA and channel support."
2014-01-09,78.114288,78.122856,76.478569,76.645714,71.314728,69787200,"The tweets from January 9, 2014, reflect various opinions and updates related to different stocks:

- There is confusion over why Apple's ($AAPL) stock is being sold despite reports of billions in holiday sales and the release of several new products.
- BlackBerry ($BBRY) has been performing unexpectedly well, countering predictions of its decline.
- Google ($GOOG) is nearing a $400 billion market capitalization, with its size not raising as much concern as Apple's for continued growth.
- The user is satisfied with holding Baidu ($BIDU) shares, while also being long on Amazon ($AMZN) and Apple ($AAPL), but short on CME Group ($CME).
- Some investors are considering buying Apple stock ($AAPL) after a recent price dip.
- Apple Inc. ($AAPL) has experienced a moderate decline of over 3%.
- There is speculation about Pandora's earnings affecting Apple.
- The S&P 500 saw slight gains, while Dow and Nasdaq experienced drops.

Condensed News Text:
Apple's stock is being questioned despite strong sales and product launches. BlackBerry shows resilience contrary to expectations. Google's market cap approaches $400 billion without the same scrutiny as Apple's. Investors express satisfaction with Baidu and Amazon but are short on CME. Apple's shares dip, inviting buying opportunities, and have seen a 3% decrease. Speculation arises about Pandora's earnings, while S&P 500 gains minimally as Dow and Nasdaq fall."
2014-01-10,77.118568,77.257141,75.872856,76.134285,70.838882,76244000,"Apple tracked iPhone and iPod sales, and a chart of the day was featured. The company also won an appeal in a patent case and faced speculation about market strategy alignment. Discussion about Apple's stock performance in the options market was mixed, with some users finding it challenging. Apple tested a significant breakout level of $532 and generated interest in its A8 chip's potential impact. Apple advised against a vote on Icahn's proposal and commented on corporate governance and ESG (Environmental, Social, and Governance) issues. Concerns were raised about Apple addressing issues to reach new highs.

Apple's stock valuation was compared to Microsoft's, with some calling the similarity ""purely stupid."" Pfizer released an iPad game aimed at detecting Alzheimer's disease, potentially signaling a new direction. Apple experienced a busy news day, with reports discussing larger iPhone models, changes in carrier subsidies, and U.S. Mac sales. Courts found that Apple's iPhone did not infringe on a Motorola patent.

In December, Apple reported $1 billion in app sales and $10 billion for the year 2013 as a whole. There was excitement over Apple's second-annual Asian Red Friday sale in its Hong Kong store. Discussion about Apple's potential A8 chip and its importance resurfaced. The 7th anniversary of the iPhone was noted, with statistics celebrating the handset's success. Speculation about Apple working on a home-based media server and a larger screen for future devices emerged. Mention of short trades on Apple's stock appeared, with some traders actively engaging in intraday trading.

There were reports on Samsung Galaxy S5 specs and potential reactions from Apple with a larger screen option. Commentary on the broader retail and tech industry included mentions of bad sales at Sears (SHLD), Sony (SNE) streaming games, Amazon (AMZN) expanding its product range, and questioning the viability of owning Best Buy (BBY) stock in the current market. The ""Red Friday"" sale at an Apple store in Hong Kong was mentioned again, with observations on the crowd and questions about whether market enthusiasm was already priced into the stock.

Condensed news text:
Apple won a patent case appeal, saw speculation on its market strategy, and faced discussions about its stock's performance. The company's valuation was compared to Microsoft's, and Pfizer launched an Alzheimer's-detecting iPad game. Apple reported $1 billion in December app sales, with a total of $10 billion for 2013. The second-annual Red Friday sale drew crowds in Hong Kong. The 7th anniversary of the iPhone was highlighted, along with an insight into the forthcoming A8 chip, and Apple's potential release of a larger iPhone and a home-based media server. Industry comments included concerns for competitors like Sears and Best Buy in response to Apple's and Amazon's strategies."
2014-01-13,75.701431,77.5,75.697144,76.53286,71.209717,94623200,"Apple Inc. (AAPL) is receiving attention in the stock market, with mentions of a bid increase on a Monday. Google is reportedly entering the connected car market, potentially challenging Microsoft and Apple. There's also a hiring buzz around Google snapping up the designer of the iPod, raising questions about Apple's recruitment strategies. Speculation about the potential features of Apple's rumored iWatch, specifically wireless charging, is circulating. Apple's stock performance is noted, with observations on its price action within the context of broader market movements. Twitter users are focusing on its support levels and potential as a safe investment. Finally, discussions are taking place regarding common misconceptions about Apple's business in China."
2014-01-14,76.888573,78.104286,76.808571,78.055717,72.626656,83140400,"Apple's stock showed potential for a long position if it broke the 60-minute downtrend line, indicating that it may be maintaining the lower bound of its channel. Google's acquisition of Nest was seen as taking a page from Apple's playbook. There were mixed opinions on Apple's strategy and performance, with some articles criticizing views on the company while others defended it. Apple's links with DIALOG SEMICON ORD and Cirrus Logic had a positive impact after reports of iPhone and iPad benefits surfaced. Apple was also reported to be facing scrutiny under the US monitor's gaze.

Apple's stock experienced highs, demonstrating a strong comeback from the previous day. Google's purchase of Nest was compared to their earlier acquisition of YouTube and analyzed in terms of Google's cash on hand, noting Apple possesses thrice as much cash. Apple also surpassed its second daily resistance at $543, indicating a stock price increase. There were several stories related to Apple that may have gone unnoticed, and the stock ended up closing higher at $546.39, marking a 1.99% increase.

There were rumors of Apple reintroducing an entry-level iPhone in India due to declining sales, with speculation on the reasons behind Apple's recent stock price rise. Some investors, including Carl Icahn, supported a resolution that could reflect a long-term inflection point in Apple's stock. Additionally, Apple remained a popular target among pickpockets in NYC, highlighting their products' desirability.

Condensed News:
- Apple's stock showed signs of an upward trajectory if it moved past a technical resistance point.
- Google's acquisition of Nest was compared to Apple's strategic moves, with discrepancies in cash reserves highlighted.
- Apple saw an increase in its stock price, closing higher amid discussions of their performance and strategies.
- Rumors suggested Apple might reintroduce an 8GB iPhone 4 in India to address slowing sales, while Apple's desirability was underscored by its popularity among NYC pickpockets."
2014-01-15,79.074287,80.028572,78.808571,79.622856,74.084801,97909700,"Apple Inc. (AAPL) is anticipated to report strong financial results and guidance based on analyst estimates from Jefferies. Stock market comments suggest a bullish trend for Apple with mentions of new highs of the day (HOD) and the stock getting its ""mojo back."" Discussions around the Apple/China Mobile deal emphasize significant pre-order sales in the millions, hinting at a less-than-anticipated impact but with potential to surprise. Analysts are bullish with stocks like $TSLA and $AAPL being highlighted as top trades and money-makers.

Carl Icahn is reported to have notified Apple of a proposal to increase the company's buyback program. The FTC has fined Apple $32.5 million for a case related to unauthorized purchases by children. Apple's stock performance is implied to be solid, with potential resistance points mentioned. There is also talk of Apple competing between Qualcomm and Intel, as well as seeking talented traders to present strategies. Apple's daily pre-orders through China Mobile are cited at 60,000, illustrating the market's strength in China."
